iter	Passed	Remaining
0	1	148
1	2	132
2	3	127
3	4	115
4	5	113
5	7	111
6	8	114
7	9	112
8	10	109
9	11	107
10	12	104
11	14	102
12	15	100
13	16	98
14	17	97
15	18	95
16	19	94
17	20	93
18	21	92
19	23	92
20	24	91
21	25	89
22	26	88
23	27	86
24	28	85
25	29	84
26	30	83
27	31	81
28	33	80
29	34	79
30	35	78
31	36	77
32	37	76
33	38	75
34	39	73
35	40	72
36	41	71
37	43	70
38	44	68
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	50	61
45	51	59
46	52	59
47	53	58
48	54	57
49	56	56
50	57	54
51	58	53
52	59	52
53	60	51
54	61	50
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	31
72	80	29
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
