iter	Passed	Remaining
0	175	175250
1	181	90500
2	186	61952
3	190	47443
4	196	39036
5	200	33250
6	205	29169
7	212	26304
8	216	23802
9	220	21874
10	226	20408
11	232	19126
12	236	17967
13	242	17065
14	247	16236
15	251	15481
16	258	14937
17	262	14344
18	268	13885
19	274	13430
20	278	13000
21	283	12611
22	289	12285
23	293	11941
24	301	11748
25	305	11457
26	310	11179
27	314	10934
28	317	10638
29	320	10368
30	323	10109
31	325	9853
32	328	9629
33	331	9407
34	333	9191
35	335	8986
36	337	8790
37	339	8602
38	342	8427
39	344	8265
40	346	8111
41	349	7965
42	351	7824
43	353	7681
44	355	7543
45	357	7418
46	359	7291
47	361	7171
48	363	7047
49	364	6925
50	366	6813
51	367	6706
52	369	6606
53	372	6522
54	373	6423
55	375	6329
56	377	6239
57	378	6150
58	380	6066
59	382	5984
60	383	5902
61	384	5824
62	386	5752
63	388	5681
64	390	5613
65	392	5548
66	393	5484
67	396	5430
68	397	5369
69	400	5314
70	402	5264
71	404	5208
72	405	5152
73	407	5103
74	409	5054
75	411	5002
76	413	4954
77	414	4904
78	417	4862
79	418	4817
80	421	4779
81	423	4740
82	424	4686
83	425	4644
84	428	4609
85	431	4586
86	433	4551
87	435	4515
88	437	4481
89	440	4449
90	442	4416
91	446	4408
92	448	4376
93	450	4341
94	452	4312
95	454	4281
96	456	4247
97	458	4221
98	461	4200
99	463	4174
100	466	4148
101	468	4121
102	470	4094
103	472	4072
104	476	4063
105	478	4036
106	480	4012
107	482	3986
108	484	3961
109	486	3935
110	488	3910
111	490	3888
112	491	3861
113	493	3837
114	495	3811
115	497	3789
116	498	3763
117	500	3741
118	502	3718
119	504	3696
120	506	3677
121	507	3651
122	509	3634
123	511	3613
124	513	3592
125	515	3577
126	517	3555
127	519	3538
128	522	3525
129	523	3506
130	526	3490
131	528	3472
132	529	3454
133	531	3434
134	533	3418
135	535	3402
136	537	3383
137	539	3368
138	541	3351
139	543	3337
140	545	3322
141	546	3303
142	548	3287
143	550	3273
144	552	3256
145	553	3239
146	555	3223
147	557	3206
148	558	3189
149	560	3174
150	561	3158
151	563	3142
152	565	3131
153	567	3118
154	569	3102
155	571	3090
156	573	3079
157	575	3067
158	577	3054
159	579	3043
160	580	3026
161	582	3013
162	584	3000
163	586	2987
164	587	2973
165	589	2959
166	590	2946
167	592	2932
168	594	2922
169	596	2912
170	598	2902
171	600	2891
172	602	2878
173	604	2868
174	606	2858
175	607	2845
176	610	2837
177	612	2828
178	614	2818
179	616	2808
180	618	2796
181	619	2784
182	621	2773
183	623	2765
184	625	2757
185	627	2747
186	629	2737
187	631	2727
188	633	2719
189	636	2713
190	638	2706
191	640	2697
192	643	2689
193	644	2679
194	646	2670
195	649	2662
196	651	2654
197	653	2648
198	655	2640
199	658	2633
200	660	2624
201	662	2615
202	664	2607
203	665	2597
204	668	2591
205	670	2584
206	671	2573
207	673	2565
208	675	2557
209	677	2547
210	679	2539
211	681	2531
212	683	2524
213	685	2517
214	687	2510
215	689	2501
216	690	2493
217	693	2487
218	694	2478
219	698	2475
220	700	2468
221	702	2462
222	704	2454
223	705	2445
224	707	2437
225	709	2430
226	711	2424
227	713	2416
228	715	2408
229	717	2402
230	720	2397
231	722	2390
232	723	2382
233	725	2376
234	727	2368
235	729	2362
236	731	2356
237	734	2350
238	735	2343
239	737	2336
240	739	2330
241	742	2326
242	745	2321
243	747	2315
244	749	2309
245	751	2303
246	753	2295
247	754	2288
248	756	2281
249	758	2275
250	760	2268
251	761	2261
252	763	2255
253	765	2248
254	767	2242
255	769	2235
256	771	2229
257	772	2223
258	775	2218
259	777	2212
260	779	2207
261	781	2202
262	784	2197
263	786	2191
264	787	2184
265	789	2179
266	792	2174
267	793	2168
268	795	2161
269	797	2155
270	799	2149
271	800	2143
272	802	2138
273	804	2131
274	805	2124
275	807	2117
276	808	2111
277	810	2105
278	811	2098
279	813	2092
280	815	2087
281	817	2082
282	820	2078
283	822	2072
284	823	2066
285	825	2061
286	827	2056
287	830	2052
288	831	2046
289	833	2040
290	835	2035
291	836	2028
292	838	2022
293	840	2017
294	841	2012
295	843	2006
296	845	2002
297	847	1997
298	849	1992
299	851	1987
300	853	1981
301	855	1976
302	857	1973
303	860	1970
304	862	1965
305	864	1961
306	866	1956
307	868	1951
308	870	1946
309	872	1942
310	875	1938
311	876	1933
312	879	1929
313	880	1924
314	882	1919
315	884	1913
316	885	1907
317	888	1904
318	889	1899
319	891	1893
320	892	1887
321	894	1882
322	896	1878
323	897	1873
324	899	1869
325	902	1865
326	904	1861
327	906	1858
328	909	1854
329	911	1849
330	913	1845
331	915	1842
332	919	1840
333	921	1837
334	923	1833
335	925	1828
336	926	1823
337	928	1818
338	930	1814
339	932	1810
340	934	1806
341	936	1802
342	938	1798
343	941	1794
344	943	1790
345	945	1787
346	948	1784
347	950	1780
348	951	1775
349	954	1771
350	956	1767
351	958	1763
352	959	1759
353	962	1755
354	963	1750
355	966	1747
356	968	1743
357	970	1739
358	972	1736
359	974	1732
360	977	1730
361	979	1726
362	981	1721
363	983	1717
364	984	1713
365	986	1708
366	988	1705
367	990	1701
368	992	1697
369	995	1694
370	997	1690
371	998	1686
372	1001	1682
373	1002	1678
374	1004	1674
375	1007	1671
376	1008	1666
377	1011	1663
378	1013	1660
379	1015	1656
380	1017	1652
381	1018	1648
382	1021	1645
383	1023	1641
384	1024	1636
385	1026	1633
386	1028	1629
387	1029	1624
388	1031	1619
389	1033	1615
390	1036	1614
391	1037	1609
392	1040	1606
393	1042	1603
394	1045	1600
395	1047	1597
396	1048	1592
397	1050	1589
398	1052	1585
399	1054	1582
400	1057	1578
401	1059	1575
402	1061	1571
403	1063	1568
404	1064	1564
405	1066	1560
406	1068	1556
407	1070	1552
408	1071	1548
409	1072	1543
410	1073	1539
411	1075	1534
412	1076	1529
413	1077	1525
414	1079	1521
415	1080	1517
416	1082	1512
417	1083	1508
418	1085	1504
419	1086	1500
420	1088	1496
421	1090	1493
422	1091	1489
423	1094	1486
424	1095	1482
425	1098	1479
426	1100	1476
427	1101	1472
428	1103	1468
429	1104	1464
430	1106	1460
431	1108	1457
432	1110	1454
433	1112	1450
434	1114	1447
435	1115	1443
436	1117	1439
437	1119	1436
438	1121	1433
439	1123	1429
440	1124	1425
441	1126	1422
442	1128	1419
443	1130	1416
444	1133	1413
445	1135	1409
446	1136	1406
447	1139	1404
448	1140	1400
449	1142	1396
450	1144	1392
451	1146	1389
452	1148	1386
453	1149	1382
454	1151	1379
455	1153	1376
456	1155	1372
457	1157	1369
458	1158	1365
459	1160	1362
460	1162	1359
461	1164	1356
462	1165	1352
463	1168	1349
464	1169	1346
465	1171	1342
466	1173	1339
467	1174	1335
468	1176	1332
469	1179	1329
470	1180	1325
471	1182	1322
472	1183	1319
473	1185	1315
474	1187	1312
475	1189	1309
476	1191	1305
477	1192	1302
478	1194	1299
479	1196	1296
480	1199	1294
481	1201	1291
482	1203	1288
483	1205	1284
484	1206	1281
485	1208	1278
486	1211	1275
487	1212	1272
488	1214	1269
489	1216	1266
490	1218	1263
491	1220	1260
492	1222	1257
493	1224	1254
494	1227	1251
495	1229	1249
496	1231	1246
497	1234	1243
498	1236	1240
499	1237	1237
500	1239	1234
501	1241	1232
502	1244	1229
503	1245	1225
504	1247	1223
505	1249	1220
506	1251	1216
507	1253	1213
508	1255	1211
509	1257	1207
510	1259	1205
511	1261	1202
512	1263	1199
513	1266	1197
514	1268	1194
515	1272	1193
516	1274	1190
517	1276	1187
518	1278	1185
519	1281	1182
520	1283	1179
521	1286	1178
522	1288	1174
523	1289	1171
524	1291	1168
525	1293	1165
526	1294	1162
527	1297	1159
528	1298	1156
529	1301	1154
530	1303	1151
531	1306	1149
532	1308	1146
533	1310	1143
534	1312	1140
535	1315	1138
536	1317	1135
537	1318	1132
538	1320	1129
539	1322	1126
540	1324	1123
541	1325	1120
542	1327	1117
543	1329	1114
544	1331	1111
545	1332	1108
546	1333	1104
547	1335	1101
548	1336	1098
549	1338	1095
550	1340	1092
551	1342	1089
552	1344	1087
553	1346	1084
554	1349	1081
555	1351	1079
556	1353	1076
557	1355	1073
558	1357	1070
559	1359	1068
560	1361	1065
561	1363	1063
562	1366	1060
563	1367	1057
564	1370	1054
565	1372	1052
566	1374	1049
567	1376	1046
568	1378	1043
569	1380	1041
570	1382	1038
571	1384	1035
572	1386	1033
573	1389	1031
574	1391	1028
575	1393	1025
576	1395	1022
577	1396	1019
578	1398	1017
579	1400	1014
580	1402	1011
581	1404	1008
582	1405	1005
583	1407	1002
584	1409	999
585	1411	996
586	1412	994
587	1415	991
588	1417	988
589	1419	986
590	1421	983
591	1423	980
592	1424	977
593	1426	975
594	1428	972
595	1430	969
596	1433	967
597	1435	965
598	1437	962
599	1440	960
600	1442	957
601	1443	954
602	1446	952
603	1448	949
604	1449	946
605	1451	943
606	1453	941
607	1455	938
608	1457	935
609	1459	933
610	1461	930
611	1464	928
612	1466	925
613	1468	922
614	1469	920
615	1471	917
616	1472	914
617	1474	911
618	1476	908
619	1478	906
620	1481	903
621	1483	901
622	1485	898
623	1487	896
624	1489	893
625	1490	890
626	1493	888
627	1495	885
628	1497	883
629	1499	880
630	1500	877
631	1502	874
632	1504	872
633	1506	869
634	1507	866
635	1509	864
636	1511	861
637	1512	858
638	1514	855
639	1516	853
640	1519	850
641	1521	848
642	1523	846
643	1526	843
644	1528	841
645	1530	838
646	1532	836
647	1534	833
648	1536	830
649	1538	828
650	1539	825
651	1542	823
652	1544	820
653	1546	817
654	1548	815
655	1551	813
656	1553	810
657	1555	808
658	1556	805
659	1559	803
660	1561	800
661	1563	798
662	1564	795
663	1566	792
664	1569	790
665	1571	788
666	1573	785
667	1575	783
668	1578	780
669	1580	778
670	1582	776
671	1584	773
672	1587	771
673	1588	768
674	1590	765
675	1592	763
676	1593	760
677	1595	757
678	1598	755
679	1600	753
680	1602	750
681	1604	747
682	1606	745
683	1607	742
684	1609	740
685	1611	737
686	1614	735
687	1615	732
688	1617	730
689	1619	727
690	1621	725
691	1623	722
692	1626	720
693	1628	717
694	1630	715
695	1632	712
696	1634	710
697	1635	707
698	1637	704
699	1639	702
700	1641	699
701	1642	697
702	1644	694
703	1646	692
704	1647	689
705	1650	687
706	1651	684
707	1653	681
708	1655	679
709	1657	676
710	1659	674
711	1661	672
712	1663	669
713	1665	667
714	1667	664
715	1670	662
716	1672	660
717	1674	657
718	1676	655
719	1678	652
720	1680	650
721	1682	647
722	1685	645
723	1687	643
724	1688	640
725	1690	637
726	1692	635
727	1694	633
728	1696	630
729	1699	628
730	1701	626
731	1703	623
732	1705	621
733	1707	618
734	1709	616
735	1711	613
736	1713	611
737	1715	609
738	1717	606
739	1719	604
740	1721	601
741	1722	599
742	1725	596
743	1726	594
744	1729	591
745	1730	589
746	1731	586
747	1733	584
748	1735	581
749	1737	579
750	1739	576
751	1742	574
752	1743	571
753	1745	569
754	1747	566
755	1748	564
756	1750	561
757	1752	559
758	1754	556
759	1755	554
760	1758	552
761	1760	549
762	1762	547
763	1764	545
764	1766	542
765	1768	540
766	1770	537
767	1772	535
768	1774	533
769	1776	530
770	1778	528
771	1780	525
772	1782	523
773	1784	520
774	1786	518
775	1788	516
776	1790	513
777	1791	511
778	1793	508
779	1795	506
780	1797	503
781	1798	501
782	1800	498
783	1802	496
784	1804	494
785	1806	491
786	1808	489
787	1809	486
788	1811	484
789	1813	481
790	1815	479
791	1817	477
792	1819	474
793	1821	472
794	1823	470
795	1825	467
796	1827	465
797	1829	463
798	1831	460
799	1834	458
800	1836	456
801	1838	453
802	1840	451
803	1842	449
804	1843	446
805	1846	444
806	1848	441
807	1849	439
808	1851	437
809	1853	434
810	1855	432
811	1856	429
812	1858	427
813	1861	425
814	1863	422
815	1865	420
816	1868	418
817	1870	416
818	1872	413
819	1874	411
820	1876	409
821	1878	406
822	1880	404
823	1883	402
824	1885	399
825	1887	397
826	1890	395
827	1892	393
828	1894	390
829	1897	388
830	1899	386
831	1901	383
832	1903	381
833	1905	379
834	1907	376
835	1909	374
836	1910	372
837	1912	369
838	1913	367
839	1915	364
840	1917	362
841	1918	360
842	1920	357
843	1923	355
844	1925	353
845	1927	350
846	1929	348
847	1931	346
848	1934	344
849	1936	341
850	1938	339
851	1940	337
852	1942	334
853	1945	332
854	1946	330
855	1949	328
856	1951	325
857	1953	323
858	1955	320
859	1956	318
860	1958	316
861	1959	313
862	1960	311
863	1963	309
864	1964	306
865	1966	304
866	1967	301
867	1970	299
868	1972	297
869	1974	295
870	1976	292
871	1978	290
872	1980	288
873	1981	285
874	1983	283
875	1985	281
876	1987	278
877	1989	276
878	1990	274
879	1992	271
880	1995	269
881	1997	267
882	1999	264
883	2000	262
884	2003	260
885	2005	258
886	2007	255
887	2009	253
888	2011	251
889	2013	248
890	2015	246
891	2017	244
892	2019	242
893	2021	239
894	2023	237
895	2025	235
896	2027	232
897	2029	230
898	2031	228
899	2032	225
900	2034	223
901	2036	221
902	2039	219
903	2041	216
904	2043	214
905	2045	212
906	2046	209
907	2049	207
908	2051	205
909	2053	203
910	2056	200
911	2057	198
912	2059	196
913	2061	193
914	2063	191
915	2065	189
916	2068	187
917	2070	184
918	2072	182
919	2074	180
920	2076	178
921	2078	175
922	2081	173
923	2083	171
924	2084	169
925	2086	166
926	2088	164
927	2090	162
928	2092	159
929	2095	157
930	2097	155
931	2099	153
932	2101	150
933	2103	148
934	2104	146
935	2106	144
936	2108	141
937	2110	139
938	2111	137
939	2114	134
940	2116	132
941	2118	130
942	2120	128
943	2121	125
944	2123	123
945	2125	121
946	2127	119
947	2129	116
948	2131	114
949	2132	112
950	2134	109
951	2136	107
952	2138	105
953	2139	103
954	2141	100
955	2143	98
956	2145	96
957	2147	94
958	2150	91
959	2151	89
960	2153	87
961	2155	85
962	2157	82
963	2159	80
964	2161	78
965	2163	76
966	2165	73
967	2168	71
968	2170	69
969	2172	67
970	2174	64
971	2176	62
972	2178	60
973	2180	58
974	2183	55
975	2185	53
976	2188	51
977	2190	49
978	2191	47
979	2193	44
980	2195	42
981	2197	40
982	2200	38
983	2201	35
984	2203	33
985	2205	31
986	2207	29
987	2209	26
988	2210	24
989	2212	22
990	2214	20
991	2216	17
992	2218	15
993	2220	13
994	2222	11
995	2224	8
996	2226	6
997	2228	4
998	2231	2
999	2233	0
